setting,seed,p,K,spearman_before,spearman_after,camera_ttc,license_ttc
license=0.3,6,0.25,3,0.779056,0.841883,,
license=0.3,6,0.5,3,0.779056,0.788476,,
license=0.3,6,1,3,0.779056,0.735087,,
license=0.3,7,0,3,0.69119,0.705288,,
license=0.3,7,0.1,3,0.69119,0.71121,,
license=0.3,7,0.25,3,0.69119,0.753394,,
license=0.3,7,0.5,3,0.69119,0.73247,,
license=0.3,7,1,3,0.69119,0.759966,,
license=0.3,8,0,3,0.64224,0.632549,,
license=0.3,8,0.1,3,0.64224,0.693311,,
license=0.3,8,0.25,3,0.64224,0.749529,,
license=0.3,8,0.5,3,0.64224,0.821587,,
license=0.3,8,1,3,0.64224,0.857595,,
license=0.3,9,0,3,0.72949,0.675545,,
license=0.3,9,0.1,3,0.72949,0.691274,,
license=0.3,9,0.25,3,0.72949,0.684104,,
license=0.3,9,0.5,3,0.72949,0.826397,,
license=0.3,9,1,3,0.72949,0.829123,,
license=0.3,10,0,3,0.585843,0.702974,,
license=0.3,10,0.1,3,0.585843,0.781436,,
license=0.3,10,0.25,3,0.585843,0.843054,,
license=0.3,10,0.5,3,0.585843,0.873055,,
license=0.3,10,1,3,0.585843,0.811075,,
license=0.3,11,0,3,0.771828,0.801346,,
license=0.3,11,0.1,3,0.771828,0.83202,,
license=0.3,11,0.25,3,0.771828,0.835827,,
license=0.3,11,0.5,3,0.771828,0.85315,,
license=0.3,11,1,3,0.771828,0.855022,,
license=0.3,12,0,3,0.546476,0.647737,,
license=0.3,12,0.1,3,0.546476,0.732704,,
license=0.3,12,0.25,3,0.546476,0.803595,,
license=0.3,12,0.5,3,0.546476,0.856119,,
license=0.3,12,1,3,0.546476,0.736203,,
license=0.3,13,0,3,0.707631,0.646167,,
license=0.3,13,0.1,3,0.707631,0.679153,,
license=0.3,13,0.25,3,0.707631,0.723648,,
license=0.3,13,0.5,3,0.707631,0.745356,,
license=0.3,13,1,3,0.707631,0.694637,,
license=0.3,14,0,3,0.749793,0.757661,,
license=0.3,14,0.1,3,0.749793,0.75098,,
license=0.3,14,0.25,3,0.749793,0.808973,,
license=0.3,14,0.5,3,0.749793,0.841235,,
license=0.3,14,1,3,0.749793,0.704902,,
license=0.3,15,0,3,0.64606,0.666651,,
license=0.3,15,0.1,3,0.64606,0.749441,,
license=0.3,15,0.25,3,0.64606,0.795465,,
license=0.3,15,0.5,3,0.64606,0.839152,,
license=0.3,15,1,3,0.64606,0.863518,,
license=0.3,16,0,3,0.773562,0.736304,,
license=0.3,16,0.1,3,0.773562,0.729752,,
license=0.3,16,0.25,3,0.773562,0.762416,,
license=0.3,16,0.5,3,0.773562,0.740723,,
license=0.3,16,1,3,0.773562,0.732925,,
license=0.3,17,0,3,0.761161,0.672422,,
license=0.3,17,0.1,3,0.761161,0.684528,,
license=0.3,17,0.25,3,0.761161,0.743556,,
license=0.3,17,0.5,3,0.761161,0.760779,,
license=0.3,17,1,3,0.761161,0.754812,,
license=0.3,18,0,3,0.726988,0.784163,,
license=0.3,18,0.1,3,0.726988,0.806142,,
license=0.3,18,0.25,3,0.726988,0.815569,,
license=0.3,18,0.5,3,0.726988,0.845949,,
license=0.3,18,1,3,0.726988,0.774194,,
license=0.3,19,0,3,0.807067,0.745592,,
license=0.3,19,0.1,3,0.807067,0.786228,,
license=0.3,19,0.25,3,0.807067,0.823697,,
license=0.3,19,0.5,3,0.807067,0.867008,,
license=0.3,19,1,3,0.807067,0.761728,,
